Asset 1,Asset 2,Asset 3,Asset 4,Asset 5,Asset 6,Asset 7
1.002389486,0.984110334,0.990590353,0.995069775,1.003873979,0.996197061,0.993265232
1,1.006963461,1.00270747,0.991712936,1.002104771,1.002483826,0.979501483
0.996982451,0.999452612,1.005527369,1.00290891,0.995066555,0.995285731,0.984183007
1.019428479,1.050090327,1.019513016,1.017075232,1.01387316,1.02740697,1.003849182
0.994045224,0.994853362,0.990832951,0.989461358,1.020023104,0.963464603,0.992575869
0.994478233,0.993265174,0.98195581,0.994096616,0.998654105,1.135949318,0.982510771
0.985566685,1.011988832,1.006506878,0.993556382,0.996885332,1.001683611,1.010212876
1.008591202,0.979096318,1.016663875,0.992213115,1.001439608,1.004618787,0.980935875
1.008099439,1.005090909,1.001635563,1.000984575,0.997606396,1.000260281,0.993282109
0.980345912,1.012269939,0.995283413,0.996239987,0.99122141,0.9970157,1.023462679
1.029042958,0.994387506,1.017454453,1.009072913,0.99635951,1.00587314,0.981070826
0.991895362,0.998862528,0.990826846,0.993444772,1.003082614,0.997591303,1.059638151
1.011854498,1.002933507,1.024000345,1.019208285,0.975571389,1.027904176,1.05088963
0.997085492,1.030827383,1.011926457,1.015778758,0.994021339,1.009661509,1.010915476
0.993325292,1.02109958,0.979524165,0.972446791,1.001832085,1.005981105,0.973256351
1.011770769,1.013679177,1.00473776,1.001211387,0.998384282,0.988422609,1.002887451
0.989559849,0.991266627,0.990487879,0.992160397,0.997006173,0.998412592,0.99203468
0.998231796,1.007467222,0.995957882,0.98953941,0.998315952,0.98415737,0.995972356
1.036056291,1.011594203,1.037888376,1.04623738,1.012488492,1.037744897,1.032903134
1.026936891,0.970257372,1.024535517,1.028803352,1.013592425,1.034805416,1.05966336
0.997951869,0.989042481,0.994567369,0.991433022,0.995258214,0.995413491,0.970583945
1.003511176,1.005168178,1.001203774,1.002689805,0.998097633,0.984850591,1.011657649
0.992098556,0.988608761,0.998441998,0.992593231,0.997731587,0.995847751,0.967864794
0.994423792,0.992435578,1.010207757,0.989855072,0.996677865,0.998824912,1.037796443
1.01292255,1.008720443,1.015062985,1.028225806,1.016175952,1.045605666,1.081716637
1.020524017,1.000419428,1.02130438,1.00626268,1.000985537,1.020956316,1.058793572
0.976962457,0.997656708,0.983765216,0.98771563,0.977295691,0.983311566,0.970189404
0.993978458,1.030352677,1.002667022,0.985066941,1.022032671,0.969812117,0.965339976
1.02060071,0.996991059,1.011817742,0.996749358,1.000468951,0.996633705,1.052018287
1.027358797,0.980032016,1.067922105,1.135392385,0.984577077,1.118703907,1.137060986
0.993639486,0.998865809,0.991623979,0.986679444,1.001155723,1.003938248,1.004137755
1.025647892,1.035493735,1.025723951,1.040897756,1.006701692,1.015111538,1.036008705
0.980203202,1.040836618,0.999696906,0.969442027,0.991097821,1.008466376,0.986853238
1.011070771,1.015353493,1.040641383,1.031521197,1.019947339,1.032381587,1.033983849
1.011194705,0.999173294,1.006136291,1.02254182,0.997934249,0.990762887,1.029157144
1.025250251,0.943981975,0.995261654,1.008953381,0.990928074,0.997613954,0.973700182
1.021190787,1.037050303,1.000895825,1.006525792,1.001211064,1.025913733,1.001012556
0.964634603,0.953687816,0.969797623,0.971911809,0.962864948,0.960749331,0.954264365
0.985207584,1.013472425,0.972854726,0.981133939,0.994203429,0.993954538,0.965242803
0.967413797,1.000086955,0.980979306,0.975243233,0.980586745,0.966575769,0.960982314
1.00207329,0.993866089,0.998247378,1.009039658,0.998079882,1.006193164,0.989885846
1.006083816,0.99041665,1.012271398,1.035322532,1.004207028,1.007344231,1.031795435
0.980318615,0.994553668,0.97538817,0.990036864,1.003253481,1.013445378,0.979789524
0.935070094,1.013191912,1.011376372,1.005711423,1.006415892,1.005795702,1.000777931
0.996744222,0.974458144,0.997478271,0.983154369,0.985307646,0.979654601,0.99856588
1.008327288,0.98599947,0.988542695,0.997935509,0.998824192,0.995681533,1.018935704
0.991662711,0.996039297,0.987549119,1.014967072,1.008874455,1.006082629,1.00612595
1.006714641,1.000743148,1.001992268,0.994443342,1.001187607,0.981622208,1.006784261
0.983413249,0.97347267,0.984541368,0.983795392,1.00548407,1.031927663,0.968867643
0.995461309,1.063520568,1.031704783,1.012252964,1.005693141,0.999919987,1.000119524
0.971861004,1.017395828,0.997884426,0.994301434,0.995704204,1.015354619,0.996011905
1.059804928,0.999044146,1.021512693,1.0205555,0.996997525,1.001464486,1.020594132
1.017217352,1.01696713,1.012482057,1.017445419,1.010665337,1.016373108,1.031778864
0.999672187,0.971330515,0.996481597,0.989701131,0.991241662,0.980222096,0.931892523
1.011943263,1.030790977,1.009504796,1.020941885,1.015269196,1.006691146,1.018562589
0.995705594,0.967719837,1.006799255,1.009487418,1.014026208,0.993836672,1.001310616
0.995233013,1.008462134,0.987958429,1.007271256,1.000455601,0.993794326,1.015732785
1.006036103,1.015075778,1.021240933,1.009648716,1.003704029,0.989473684,1.010146699
